35,27,9,34,2,26,10,25,13,21,20,17,16,36,19,3,30,24,12,33,31,15,18,8,5,29,14,22,11,28,23,6,32,7,1,4
32,29,20,18,19,8,9,31,3,14,24,36,7,2,15,13,34,5,4,11,22,1,6,27,10,26,17,16,25,23,30,28,21,35,12,33
10,3,11,17,21,22,29,33,2,16,19,28,6,26,25,8,12,4,7,35,30,23,20,36,34,32,9,15,18,1,27,31,13,5,14,24
23,16,36,7,6,33,4,1,22,34,5,32,14,10,21,11,35,31,3,2,17,28,29,9,13,24,12,27,20,30,26,25,18,19,8,15
24,4,25,30,13,15,7,12,18,27,8,26,9,23,29,22,1,28,21,5,14,32,19,16,36,31,2,33,35,6,3,20,10,11,17,34
31,12,28,1,5,14,6,11,30,15,23,35,32,33,27,20,18,17,34,25,24,13,26,10,21,4,3,19,7,8,9,29,2,36,16,22
11,18,33,9,22,20,1,3,27,6,7,23,26,29,5,15,16,8,35,21,13,12,31,34,19,2,10,17,4,14,24,36,30,32,28,25
34,26,7,16,29,24,32,14,11,12,9,20,36,19,1,31,10,33,6,22,23,4,28,5,30,25,27,13,21,3,2,15,17,8,35,18
13,19,35,4,25,23,5,30,16,33,34,2,18,21,9,24,22,32,11,7,15,17,8,14,31,12,36,20,28,29,10,27,6,1,26,3
28,14,3,6,32,36,15,21,35,29,10,24,4,20,13,34,17,27,19,1,26,2,30,25,8,16,11,9,23,18,31,5,7,33,22,12
5,30,2,15,8,21,31,28,26,36,17,4,25,12,11,7,6,14,29,3,18,10,27,24,33,22,32,1,34,35,16,13,9,20,19,23
17,10,1,12,27,31,8,18,19,25,22,13,2,30,28,23,3,35,20,36,9,16,32,33,6,7,5,26,15,24,11,21,4,34,29,14
21,20,6,13,30,29,28,35,9,11,12,14,10,27,2,19,31,26,17,24,33,25,15,22,32,36,8,4,5,34,7,3,23,16,18,1
22,23,5,8,3,17,20,16,7,26,27,29,15,24,34,1,32,36,31,10,2,30,14,11,18,21,28,25,12,13,33,9,35,4,6,19
36,9,4,28,11,19,17,32,34,24,1,3,13,25,14,18,33,30,23,12,7,5,35,20,2,15,16,6,31,27,8,22,29,26,10,21
7,1,34,31,24,35,18,22,15,13,30,25,3,9,4,12,8,29,36,16,28,6,21,26,23,17,19,14,33,10,32,11,27,2,5,20
15,2,16,10,12,25,19,8,5,31,4,33,23,7,6,35,11,21,13,27,32,3,1,18,20,9,29,24,26,22,28,14,34,30,36,17
18,33,26,32,14,27,21,6,23,2,36,10,22,16,17,28,5,20,9,8,19,29,34,4,3,11,35,30,1,7,25,24,31,12,15,13
12,7,32,3,36,2,22,9,31,23,11,1,30,35,10,6,29,19,8,17,27,24,4,13,15,34,21,28,16,26,14,33,25,18,20,5
14,31,24,29,10,5,30,26,17,28,18,27,8,32,20,33,36,34,15,6,25,35,11,21,4,23,13,2,22,19,1,12,16,3,7,9
6,22,15,27,16,30,35,36,32,7,29,19,1,4,3,14,28,25,5,34,20,18,23,2,17,10,33,12,9,31,21,26,24,13,11,8
8,34,23,35,18,28,16,24,10,3,21,12,5,11,31,9,2,13,33,26,1,14,36,19,7,6,25,29,30,20,22,32,15,17,4,27
9,17,13,11,33,4,34,2,6,20,25,8,27,15,18,21,26,22,16,28,3,7,12,30,24,14,1,5,32,36,35,23,19,10,31,29
20,25,21,19,26,1,14,15,33,4,13,5,12,17,24,16,23,7,10,9,29,31,22,32,35,3,18,8,27,11,36,34,28,6,2,30
19,15,12,24,9,10,26,27,4,1,32,21,34,8,23,2,7,11,22,14,36,20,17,3,28,35,30,31,6,33,29,18,5,25,13,16
16,8,31,25,4,34,11,13,29,9,14,6,28,18,33,36,21,1,30,15,5,26,10,35,12,20,24,3,19,32,17,2,22,23,27,7
27,11,29,20,7,6,23,17,36,22,28,30,19,14,35,5,13,9,1,32,34,21,2,31,25,18,15,10,8,16,12,4,3,24,33,26
2,28,22,21,17,3,33,5,20,18,16,7,29,31,30,10,27,12,24,13,4,8,25,6,11,1,26,23,14,9,34,19,36,15,32,35
26,5,30,23,35,13,2,10,25,19,3,15,24,6,22,32,4,16,28,18,11,33,7,12,29,27,34,21,36,17,20,1,8,14,9,31
33,32,14,36,1,18,24,34,12,8,35,31,20,3,26,17,25,15,27,29,16,19,9,23,22,5,4,7,13,2,6,30,11,28,21,10
3,6,10,22,15,11,36,29,8,30,33,16,21,1,12,27,14,23,18,19,35,9,24,28,26,13,7,34,2,4,5,17,20,31,25,32
30,21,18,33,34,9,13,23,14,32,15,22,31,28,36,26,19,2,25,20,10,27,3,1,16,8,6,35,17,5,4,7,12,29,24,11
4,35,17,26,28,32,25,7,24,5,2,18,33,34,16,29,20,3,14,31,12,36,13,15,27,30,22,11,10,21,19,8,1,9,23,6
25,13,27,14,20,16,3,19,28,10,6,9,11,22,7,4,24,18,2,23,8,34,5,17,1,33,31,32,29,12,15,35,26,21,30,36
1,24,19,5,31,7,12,20,21,17,26,11,35,13,8,30,15,10,32,4,6,22,33,29,9,28,23,36,3,25,18,16,14,27,34,2
29,36,8,2,23,12,27,4,1,35,31,34,17,5,32,25,9,6,26,30,21,11,16,7,14,19,20,18,24,15,13,10,33,22,3,28
5,13,22,11,30,36,14,34,7,24,21,3,25,8,31,33,27,12,15,2,26,32,10,16,1,9,19,6,29,35,4,28,18,23,17,20
6,17,31,23,27,26,11,1,16,30,13,12,21,19,18,24,22,9,3,20,29,5,7,33,4,8,15,28,36,10,2,14,35,25,32,34
2,34,19,21,7,16,6,8,15,35,33,17,1,10,11,26,32,23,14,12,28,30,4,25,22,18,5,20,3,24,9,13,29,36,31,27
4,1,12,28,20,10,22,32,5,25,36,9,7,14,35,30,15,29,13,27,24,18,11,23,21,34,16,2,17,31,3,19,8,33,6,26
29,3,9,14,25,32,28,19,27,10,2,18,6,36,20,34,16,4,1,21,8,17,35,31,7,33,13,26,23,30,22,15,11,5,24,12
35,33,8,15,24,18,4,23,31,26,20,29,5,28,13,17,2,3,22,6,19,34,9,36,25,12,27,14,32,11,16,1,7,10,30,21
3,12,29,13,5,22,26,27,24,34,28,11,2,16,7,9,36,18,6,15,32,33,23,21,17,14,1,19,30,4,25,8,31,35,20,10
21,7,10,17,28,15,8,36,25,31,19,23,20,1,12,5,24,11,2,13,4,35,22,29,9,26,6,33,18,16,32,34,30,27,3,14
