18,10,1,7,5,2,24,3,22,21,8,13,23,20,6,9,14,4,15,19,16,25,12,11,17
21,4,25,16,24,15,6,11,19,17,14,7,5,10,2,22,12,1,20,18,3,13,23,9,8
13,14,6,3,12,4,7,16,20,10,25,11,9,19,17,2,21,23,8,24,1,5,15,18,22
15,2,8,11,20,9,12,23,5,13,24,18,1,22,16,17,3,10,6,25,4,21,7,14,19
9,17,22,19,23,1,18,25,8,14,3,21,12,4,15,5,16,13,11,7,2,24,20,6,10
20,22,16,21,9,6,5,2,11,12,13,15,4,1,23,3,25,18,10,17,8,7,19,24,14
3,6,12,2,4,7,15,20,18,8,5,17,25,16,21,24,9,14,19,22,13,1,11,10,23
5,23,11,14,10,16,1,4,25,24,22,19,3,9,7,20,13,8,12,15,18,2,6,17,21
1,8,18,13,7,3,9,17,10,19,11,2,6,24,14,4,5,16,23,21,12,15,22,25,20
19,25,24,15,17,21,14,13,23,22,18,12,10,8,20,7,2,6,1,11,9,16,3,4,5
17,5,13,10,1,12,2,14,9,11,4,6,16,7,3,25,22,15,21,20,19,8,24,23,18
6,9,7,4,11,10,3,1,24,23,2,5,21,18,22,12,19,17,16,8,14,20,25,13,15
8,15,14,20,2,5,4,7,13,6,1,9,11,25,19,18,23,24,3,10,21,22,17,16,12
16,18,3,12,19,8,17,22,21,25,20,23,24,15,13,6,4,2,14,1,11,10,5,7,9
23,24,21,25,22,18,20,19,16,15,17,10,8,14,12,13,11,9,7,5,6,4,2,1,3
2,12,15,1,14,11,13,18,3,4,10,8,7,6,5,19,17,20,9,16,24,23,21,22,25
11,7,4,5,3,14,10,8,6,2,9,25,17,21,1,23,24,22,13,12,20,19,18,15,16
10,16,9,6,13,25,21,24,17,5,19,20,22,23,18,15,8,3,2,4,7,14,1,12,11
22,20,17,18,8,23,19,15,12,7,16,4,2,3,24,11,1,21,25,14,10,9,13,5,6
25,19,23,24,21,20,22,9,1,16,15,14,13,12,11,10,7,5,18,6,17,3,8,2,4
12,13,10,9,6,24,11,5,4,3,21,1,18,2,8,16,20,25,22,23,15,17,14,19,7
14,11,5,22,18,19,16,6,2,1,23,24,20,17,10,21,15,7,4,3,25,12,9,8,13
24,3,20,17,15,22,8,10,7,9,12,16,14,11,25,1,6,19,5,13,23,18,4,21,2
4,21,19,23,16,17,25,12,14,20,7,22,15,13,9,8,18,11,24,2,5,6,10,3,1
7,1,2,8,25,13,23,21,15,18,6,3,19,5,4,14,10,12,17,9,22,11,16,20,24
2,5,19,13,24,1,11,20,23,6,9,12,18,7,15,3,17,22,16,25,4,10,8,14,21
18,1,16,6,7,10,9,4,5,19,3,2,21,14,23,11,8,15,13,24,17,22,12,25,20
8,17,22,9,14,2,24,15,21,18,1,4,25,6,13,5,12,10,23,20,3,7,11,19,16
21,4,3,23,10,22,16,13,12,25,17,8,11,20,5,1,7,14,9,19,2,6,15,24,18
11,12,15,25,20,17,3,8,14,7,10,16,22,19,24,2,4,6,21,18,1,9,23,5,13
3,2,1,16,8,11,15,10,7,4,12,18,5,21,6,17,13,19,14,9,24,23,22,20,25
6,22,5,4,9,3,1,2,20,12,11,24,7,23,25,16,18,21,10,8,14,15,19,13,17
7,11,12,15,17,6,5,14,8,13,2,20,1,4,19,22,24,25,3,23,21,18,16,9,10
13,18,10,14,19,25,23,21,9,24,22,3,17,8,16,15,1,2,20,6,11,12,7,4,5
24,23,21,20,25,16,18,22,19,17,14,15,9,13,10,12,11,5,4,7,8,3,6,2,1
1,21,9,24,23,14,13,12,6,16,8,7,2,5,4,10,20,17,22,15,18,19,25,11,3
12,7,25,2,4,20,8,9,11,5,15,21,6,3,1,19,23,16,18,13,22,24,10,17,14
17,8,6,5,18,7,2,3,4,10,25,23,19,22,20,24,21,11,12,14,13,16,1,15,9
15,14,20,19,13,24,21,25,22,23,18,10,16,17,11,7,9,1,5,3,12,2,4,6,8
22,16,11,10,3,15,19,18,17,1,24,14,13,12,9,25,6,8,2,4,7,5,20,21,23
19,20,17,18,15,8,10,7,1,9,5,6,4,2,3,14,16,13,11,12,25,21,24,23,22
4,6,2,3,5,12,14,16,13,11,7,1,10,9,8,21,25,23,24,22,19,20,17,18,15
16,13,8,7,1,4,6,5,3,2,21,25,23,24,22,20,15,18,19,17,9,11,14,10,12
9,10,14,12,11,21,25,23,24,22,20,19,15,18,17,6,3,7,1,2,16,13,5,8,4
23,25,24,21,22,19,20,17,18,15,16,13,12,11,14,9,10,4,8,5,6,1,2,3,7
20,19,18,17,16,9,7,6,10,8,4,5,3,1,2,13,14,12,15,11,23,25,21,22,24
5,3,4,1,2,13,12,11,15,14,6,9,8,10,7,23,22,24,25,21,20,17,18,16,19
10,9,7,8,6,5,4,1,2,3,23,22,24,25,21,18,19,20,17,16,15,14,13,12,11
14,15,13,11,12,23,22,24,25,21,19,17,20,16,18,4,5,3,6,1,10,8,9,7,2
25,24,23,22,21,18,17,19,16,20,13,11,14,15,12,8,2,9,7,10,5,4,3,1,6
