7,14,12,4,16,1,13,15,11,3,9,10,2,6,5,8
5,1,16,13,9,11,8,3,7,14,2,6,10,12,15,4
8,2,9,11,10,5,6,12,1,15,4,16,3,7,14,13
3,10,6,15,14,2,7,4,5,8,13,12,9,1,16,11
16,6,5,10,8,15,4,13,3,9,1,2,14,11,12,7
14,11,13,3,1,6,12,9,4,7,5,15,8,2,10,16
15,8,4,12,7,14,2,10,6,11,16,13,1,3,9,5
1,7,2,9,5,3,11,16,8,10,12,14,4,15,13,6
9,15,8,5,13,16,3,6,12,2,14,7,11,10,4,1
10,4,3,2,12,7,14,5,9,1,6,11,16,13,8,15
13,16,11,7,2,8,15,1,10,5,3,4,12,14,6,9
6,12,1,14,4,9,10,11,16,13,15,8,7,5,3,2
2,9,10,8,6,12,5,7,13,4,11,3,15,16,1,14
11,5,14,6,3,4,1,2,15,16,10,9,13,8,7,12
4,3,7,1,15,13,16,14,2,12,8,5,6,9,11,10
12,13,15,16,11,10,9,8,14,6,7,1,5,4,2,3
5,13,9,16,2,12,4,11,6,14,3,8,1,10,15,7
6,4,3,12,10,5,1,16,9,2,15,7,13,14,11,8
10,14,15,7,6,13,8,3,5,4,1,11,2,9,12,16
2,8,11,1,7,14,9,15,13,10,12,16,5,6,3,4
15,12,8,6,5,4,11,14,1,13,7,10,9,2,16,3
1,5,4,14,3,9,15,6,2,16,8,12,10,13,7,11
13,9,16,10,1,2,7,12,11,5,14,3,6,4,8,15
11,2,7,3,13,8,16,10,15,9,4,6,14,1,5,12
3,1,2,8,9,6,5,7,10,12,11,4,15,16,13,14
7,10,5,4,15,1,3,2,14,8,16,13,11,12,9,6
14,6,13,15,11,16,12,8,3,1,9,2,7,5,4,10
9,16,12,11,14,10,13,4,7,6,5,15,3,8,2,1
4,3,1,2,8,7,6,5,12,11,10,9,16,15,14,13
8,7,6,5,4,3,2,1,16,15,13,14,12,11,10,9
12,11,10,9,16,15,14,13,4,3,2,1,8,7,6,5
16,15,14,13,12,11,10,9,8,7,6,5,4,3,1,2
