3,13,4,15,11,8,1,14,5,6,12,16,10,7,2,9
2,9,8,5,10,12,13,6,14,7,4,15,11,1,16,3
12,11,1,6,5,15,16,7,2,3,10,9,14,13,8,4
10,7,16,14,9,2,4,3,13,1,8,11,5,12,6,15
15,4,5,3,2,1,6,8,16,10,7,14,13,9,12,11
1,16,11,8,7,5,3,13,9,15,2,12,6,14,4,10
7,6,14,9,12,10,15,4,1,13,11,8,16,5,3,2
13,10,2,12,16,11,14,9,4,5,3,6,8,15,1,7
5,12,9,16,13,7,10,15,6,11,1,3,4,2,14,8
6,1,15,11,8,3,2,16,7,4,14,13,12,10,9,5
8,14,13,10,1,4,9,11,12,2,15,5,3,16,7,6
4,2,3,7,6,14,5,12,8,9,16,10,1,11,15,13
14,3,10,2,4,9,11,5,15,16,6,1,7,8,13,12
11,8,6,13,15,16,7,1,3,12,5,2,9,4,10,14
9,15,7,1,14,6,12,10,11,8,13,4,2,3,5,16
16,5,12,4,3,13,8,2,10,14,9,7,15,6,11,1
9,8,14,11,10,6,16,1,4,7,5,2,13,3,15,12
15,13,16,10,12,14,7,5,9,8,3,1,2,11,4,6
1,5,12,7,2,4,3,13,6,15,14,11,9,10,16,8
4,2,3,6,11,9,15,8,12,10,16,13,7,1,14,5
3,16,8,4,1,5,9,6,2,12,11,10,14,13,7,15
6,15,5,14,8,10,2,11,16,13,7,3,1,4,12,9
11,9,1,2,7,13,12,15,8,6,4,14,10,16,5,3
12,7,10,13,14,16,4,3,15,1,9,5,6,8,11,2
16,1,13,3,6,8,5,14,11,2,12,4,15,9,10,7
7,4,6,8,13,12,10,9,3,14,15,16,5,2,1,11
14,11,2,5,16,15,1,7,10,9,8,6,4,12,3,13
10,12,9,15,3,2,11,4,13,5,1,7,16,6,8,14
2,14,4,16,5,7,8,12,1,11,13,9,3,15,6,10
8,3,7,12,9,1,6,2,14,16,10,15,11,5,13,4
13,10,11,9,15,3,14,16,5,4,6,12,8,7,2,1
5,6,15,1,4,11,13,10,7,3,2,8,12,14,9,16
