1,11,16,12,2,3,14,5,9,10,6,4,15,7,13,8
10,4,8,5,12,6,13,11,14,7,16,15,1,2,9,3
6,13,15,9,10,16,1,7,8,3,2,5,11,14,12,4
2,7,3,14,4,15,9,8,13,12,1,11,16,5,6,10
12,15,5,13,1,14,2,9,3,11,7,16,10,4,8,6
3,16,4,8,6,11,5,12,1,9,15,10,14,13,2,7
7,9,2,1,15,10,8,4,12,13,14,6,5,3,16,11
11,10,14,6,3,7,16,13,4,5,8,2,12,9,1,15
5,14,1,16,8,13,4,2,11,15,3,9,6,10,7,12
4,2,11,7,16,1,12,3,6,14,10,13,9,8,15,5
15,12,13,10,14,9,11,6,7,2,5,8,4,16,3,1
8,6,9,3,7,5,15,10,16,1,4,12,2,11,14,13
13,3,12,2,9,4,6,16,10,8,11,1,7,15,5,14
14,8,6,4,11,12,3,15,5,16,9,7,13,1,10,2
9,1,7,11,5,2,10,14,15,6,13,3,8,12,4,16
16,5,10,15,13,8,7,1,2,4,12,14,3,6,11,9
5,12,7,14,10,15,16,8,2,3,11,9,13,1,4,6
11,9,13,16,1,4,2,3,6,8,7,12,10,15,5,14
4,3,8,1,13,6,14,12,16,5,10,15,9,2,11,7
15,2,10,6,11,9,7,5,4,1,14,13,12,8,16,3
3,8,2,4,7,11,15,10,12,14,16,5,6,9,1,13
16,6,5,15,14,3,8,9,13,11,4,1,7,10,12,2
9,14,11,10,2,13,12,1,15,6,8,7,16,4,3,5
1,7,12,13,4,16,5,6,9,2,3,10,8,14,15,11
10,13,15,2,6,12,11,4,7,16,5,14,1,3,9,8
14,5,6,11,9,2,10,15,8,13,1,3,4,16,7,12
12,16,4,8,3,5,1,7,10,9,2,6,11,13,14,15
7,1,3,9,16,8,13,14,11,15,12,4,5,6,2,10
8,4,14,7,5,1,9,2,3,10,13,11,15,12,6,16
2,10,1,12,8,7,6,11,14,4,15,16,3,5,13,9
6,11,16,3,15,10,4,13,5,12,9,2,14,7,8,1
13,15,9,5,12,14,3,16,1,7,6,8,2,11,10,4
